"marca","Europa","Europa","Lorenzetti","Lorenzetti","Lorenzetti","Lorenzetti","Aqualar 3M","Aqualar 3M","Aqualar 3M","Latina","Latina","Philips","Electrolux","Everest"
"modelo","palladium","bliss","naturalis","gioviali","Acqua 5""","acqua bella","bella fonte","stilla","aquapurity","VitaPlus","VitaMax","WP3870","PA10N","Soft Baby"
"Ret particulas","P4","P4",,"P4","P3",,"P3","P3","P3","P1","P3",,"P3","P3"
"Ret cloro","C1","C1",,"C1","C3",,"C1","C1","C1","C1","C1",,"C1","C1"
"Vazao L/h",60,40,,48,90,,340,100,100,70,70,,60,45
"preco equip",500,330,280,200,90,50,129,160,100,200,180,380,170,299
"local","europa","europa","walmart","luiza","luiza",,"luiza","luiza","luiza",,,,"Submarino","Buscape"
"preco filtro R$",208,90,90,50,20,15,50,70,45,90,45,90,75,99
"duracao filtro H",6000,3000,6000,4000,6000,1000,1500,2500,1500,7000,7000,2000,2500,4000
"R$/L filtrado","=B8/B9","=C8/C9","=D8/D9","=E8/E9","=F8/F9","=G8/G9","=H8/H9","=I8/I9","=J8/J9","=K8/K9","=L8/L9","=M8/M9","=N8/N9","=O8/O9"
"Observ","minerais",,,,"soh filtro",,,,,"minerais","soh filtro",,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Classe C","Reducao de cloro",,,"Classe P","Tamanho de particula micron",,,,,,,,,
"I","> 75%",,,"I",">0,5 a < 1",,,,,,,,,
"II","50 a 74.9%",,,"II",">1 a < 5",,,,,,,,,
"III","25 a 49.9%",,,"III",">5 a < 15",,,,,,,,,
,,,,"IV",">15 a < 30",,,,,,,,,
,,,,"V",">30 a < 50",,,,,,,,,
,,,,"VI",">50 a < 80",,,,,,,,,
